# RA	DEC
-88.002246 -41.134713
-88.124213 -41.311251
-88.246698 -41.487717
-88.369707 -41.664108
-88.493247 -41.840423
-88.617324 -42.016663
-88.741945 -42.192824
-88.867117 -42.368907
-88.992846 -42.544910
-89.077683 -42.511884
-89.162431 -42.478796
-89.247089 -42.445646
-89.331658 -42.412433
-89.416137 -42.379158
-89.500526 -42.345821
-89.584826 -42.312423
-89.669036 -42.278962
-89.753157 -42.245441
-89.837189 -42.211857
-89.921131 -42.178213
-90.004983 -42.144507
-90.088747 -42.110741
-90.172421 -42.076913
-90.256006 -42.043025
-90.339502 -42.009076
-90.422908 -41.975067
-90.506226 -41.940998
-90.589454 -41.906868
-90.672593 -41.872678
-90.755644 -41.838429
-90.838605 -41.804120
-90.921478 -41.769751
-91.004261 -41.735322
-91.086956 -41.700834
-91.169563 -41.666287
-91.252080 -41.631681
-91.334509 -41.597016
-91.416849 -41.562292
-91.499101 -41.527510
-91.581265 -41.492669
-91.663340 -41.457769
-91.745326 -41.422811
-91.827225 -41.387795
-91.909035 -41.352722
-91.990756 -41.317590
-92.072390 -41.282400
-92.153936 -41.247153
-92.235394 -41.211848
-92.316763 -41.176487
-92.398045 -41.141067
-92.479239 -41.105591
-92.560346 -41.070058
-92.641364 -41.034468
-92.722295 -40.998821
-92.803139 -40.963118
-92.883895 -40.927359
-92.964563 -40.891543
-93.045144 -40.855671
-93.125638 -40.819743
-93.206045 -40.783759
-93.286364 -40.747719
-93.366597 -40.711624
-93.446742 -40.675473
-93.526801 -40.639267
-93.606772 -40.603006
-93.686657 -40.566690
-93.766455 -40.530318
-93.846167 -40.493892
-93.925792 -40.457411
-94.005330 -40.420876
-94.084782 -40.384286
-94.164148 -40.347641
-94.243427 -40.310943
-94.322621 -40.274190
-94.401728 -40.237384
-94.480749 -40.200524
-94.559684 -40.163610
-94.638534 -40.126642
-94.717297 -40.089622
-94.795975 -40.052547
-94.874567 -40.015420
-94.953074 -39.978240
-95.031495 -39.941007
-95.109831 -39.903721
-95.188082 -39.866382
-95.266247 -39.828991
-95.344328 -39.791547
-95.422323 -39.754051
-95.500234 -39.716503
-95.578059 -39.678903
-95.655800 -39.641251
-95.733456 -39.603548
-95.811028 -39.565792
-95.888515 -39.527986
-95.965918 -39.490127
-96.043236 -39.452218
-96.120470 -39.414257
-96.197620 -39.376246
-96.274686 -39.338183
-96.351669 -39.300070
-96.428567 -39.261906
-96.505381 -39.223692
-96.582112 -39.185427
-96.658760 -39.147112
-96.735324 -39.108747
-96.811804 -39.070331
-96.888201 -39.031866
-96.964516 -38.993351
-97.420551 -39.533821
-97.883317 -40.072692
-98.353034 -40.609904
-98.829932 -41.145397
-99.314247 -41.679106
-99.806223 -42.210966
-100.306113 -42.740906
-100.814177 -43.268855
-101.330683 -43.794738
-101.855909 -44.318478
-102.390140 -44.839994
-102.933672 -45.359202
-103.486809 -45.876013
-104.049864 -46.390338
-104.623161 -46.902080
-105.207034 -47.411141
-105.801826 -47.917418
-106.407890 -48.420802
-107.025590 -48.921183
-107.655300 -49.418443
-108.297405 -49.912460
-108.952300 -50.403109
-109.620389 -50.890255
-110.302087 -51.373762
-110.997820 -51.853486
-111.708023 -52.329278
-112.433140 -52.800980
-113.173623 -53.268431
-113.929934 -53.731460
-114.702540 -54.189893
-115.491919 -54.643544
-116.298549 -55.092223
-117.122916 -55.535731
-117.965509 -55.973861
-118.826817 -56.406398
-119.707329 -56.833119
-120.607532 -57.253791
-121.527907 -57.668175
-122.468929 -58.076022
-123.431062 -58.477073
-124.414756 -58.871061
-125.420444 -59.257712
-126.448538 -59.636741
-127.499423 -60.007855
-128.573457 -60.370754
-129.670959 -60.725127
-130.792212 -61.070659
-131.937450 -61.407024
-133.106855 -61.733894
-134.300554 -62.050930
-135.518607 -62.357793
-136.761005 -62.654136
-138.027660 -62.939610
-139.318403 -63.213866
-140.632974 -63.476554
-141.971019 -63.727322
-143.332081 -63.965825
-144.715599 -64.191720
-146.120903 -64.404671
-147.547209 -64.604351
-148.993617 -64.790442
-150.459116 -64.962640
-151.942575 -65.120654
-153.442752 -65.264211
-154.958295 -65.393057
-156.487750 -65.506958
-158.029562 -65.605704
-159.582088 -65.689109
